country,quarter,house_price_index,rent_index,leverage_ratio,ecb_shock,price_rent_ratio,log_house_price,log_rent,log_price_rent_ratio
FI,2021Q4,101.2586,93.90666666666668,119.67,0.02709624,1.0782897912821239,4.617677640651203,4.5423013812091,0.0753762594421026
FI,2022Q1,99.8191,94.07,119.82,0.05082729,1.0611151270330605,4.603359547771604,4.54403918598386,0.05932036178774415
FI,2022Q2,98.698,94.57666666666668,119.54,0.01277543,1.043576639763155,4.592064682809611,4.54941079306185,0.04265388974776095
FI,2022Q3,96.1159,94.81,119.59,0.12615794,1.0137738635165066,4.565554754943952,4.551874888929868,0.013679866014084135
FI,2022Q4,90.8526,95.08333333333331,118.57,0.0389859599999999,0.9555049956178792,4.509238413034767,4.554753700074075,-0.045515287039308044
FI,2023Q1,87.0771,95.77666666666666,116.17,0.03538799,0.9091682038074689,4.4667939331016475,4.5620190923321084,-0.09522515923046052
FI,2023Q2,86.6428,96.38666666666666,114.73,-0.05134698,0.8989085627334348,4.461793919806727,4.568367879463986,-0.10657395965725933
FI,2023Q3,83.7292,96.90333333333332,113.62,-0.0253186899999999,0.8640487083347668,4.427587781650213,4.573713918029866,-0.14612613637965233
FI,2023Q4,82.6107,97.26666666666668,112.39,0.00773644,0.8493217957505139,4.414139212088931,4.577456347420576,-0.16331713533164452
FI,2024Q1,81.2806,98.23333333333332,112.15,-0.06778416,0.8274238208347474,4.3979073656926895,4.58734560107554,-0.18943823538284957
FI,2024Q2,81.5653,98.85333333333334,111.67,0.00802221,0.8251143107634205,4.401403926429684,4.5936372701743675,-0.19223334374468287
FI,2024Q3,81.2961,99.27,110.73,0.02620021,0.8189392565729827,4.39809804492344,4.59784341060163,-0.1997453656781907
FI,2024Q4,80.3255,99.52666666666666,109.41,-0.01459511,0.807075155737156,4.386087129694656,4.600425614957334,-0.2143384852626784
FI,2025Q1,79.3157,99.87333333333332,108.81,-0.01072019,0.7941629397236502,4.373436091390407,4.603902716421126,-0.23046662503071846
FI,2025Q2,80.1258,100.09,108.19,-0.00896936,0.8005375162353882,4.383597899590367,4.606069781230928,-0.22247188164056114
FI,2025Q3,78.1793,100.20333333333332,108.19,0.0084398899999999,0.7802065799540935,4.359004906628127,4.6072014548971705,-0.24819654826904383
FR,2002Q1,63.5753,68.52666666666666,56.37,0.00333087,0.9277454032493434,4.15222503013307,4.227222963916666,-0.07499793378359604
FR,2002Q2,65.2558,69.14333333333333,56.56,0.04156148,0.9437757315720966,4.178314931141308,4.236181644689944,-0.05786671354863589
FR,2002Q3,67.7319,69.53666666666668,56.93,0.03763491,0.9740458271415559,4.215557265394988,4.241854191388085,-0.026296925993097048
FR,2002Q4,68.1369,70.10666666666667,57.03,0.09370394,0.9719032902244199,4.221518916627908,4.250017891753516,-0.028498975125607878
FR,2003Q1,68.8809,70.54666666666667,57.14,0.09542948,0.9763877338877338,4.232378926236204,4.256274429367822,-0.023895503131617486
FR,2003Q2,71.2389,71.09,57.6,0.07514996,1.0020945280630187,4.266039017538636,4.263946679941392,0.002092337597243382
FR,2003Q3,74.0757,71.43,58.44,0.00414956,1.0370390592188155,4.305087543296856,4.268717949166882,0.03636959412997429
FR,2003Q4,74.8182,71.94333333333333,59.35,0.04143882,1.0399601538247696,4.315061170892036,4.275878772102769,0.03918239878926618
FR,2004Q1,76.8636,72.35666666666667,59.75,-0.00241803,1.0622877412816143,4.342032422447308,4.281607593499562,0.06042482894774694
FR,2004Q2,79.2413,72.91000000000001,60.98,0.05648209,1.0868371965436838,4.372497627551404,4.289225803818339,0.08327182373306498
FR,2004Q3,82.9563,73.47,61.54,0.01864253,1.1291180073499387,4.418313963119535,4.296877159632186,0.12143680348734887
FR,2004Q4,84.5335,74.30333333333334,62.14,0.0134245,1.1376811269122067,4.437147905501851,4.308155813884731,0.12899209161711903
FR,2005Q1,87.0175,74.92,62.9,-0.01816235,1.1614722370528563,4.466109247852038,4.316420877575887,0.1496883702761501
FR,2005Q2,89.9172,75.62,64.28,0.00798641,1.1890663845543505,4.498889246870523,4.325720798462787,0.17316844840773624
FR,2005Q3,93.8134,76.20666666666666,65.64,-0.02394718,1.2310392791531801,4.541307702951927,4.333448947929523,0.2078587550224037
FR,2005Q4,95.3826,76.85000000000001,66.91,-0.06233713,1.2411528952504878,4.557896171882066,4.341855469984605,0.21604070189746158
FR,2006Q1,97.278,77.67,67.86,0.00109681,1.2524526844341446,4.577572858795987,4.352469082431556,0.22510377636443124
FR,2006Q2,99.2571,78.3,69.23,-0.09556971,1.2676513409961685,4.597713453532614,4.360547602996758,0.23716585053585668
FR,2006Q3,102.2034,78.77666666666667,69.94,0.02913577,1.2973816273854355,4.626964945317995,4.366616844724085,0.2603481005939091
FR,2006Q4,103.1574,79.35666666666667,70.56,0.01058187,1.2999210316293526,4.636255977128255,4.373952459406308,0.2623035177219468
FR,2007Q1,103.7874,80.01,71.14,-0.0274856099999999,1.297180352455943,4.642344576080519,4.382151626862033,0.26019294921848624
FR,2007Q2,104.4927,80.80333333333333,72.21,0.01080658,1.293173136421765,4.64911721250546,4.392018218801534,0.25709899370392536
FR,2007Q3,106.6754,81.26,73.34,-0.0322175799999999,1.312766428747231,4.669790578774087,4.397653890559581,0.2721366882145068
FR,2007Q4,106.2879,81.86,74.38,0.02471865,1.2984107011971657,4.66615145008246,4.405010471064257,0.26114097901820377
FR,2008Q1,104.9277,82.25,74.86,0.03576784,1.275716717325228,4.653271541554766,4.409763389645481,0.24350815190928404
FR,2008Q2,103.8913,82.62,75.49,0.09407425,1.2574594529169691,4.643345160239303,4.414251781968619,0.2290933782706844
FR,2008Q3,103.924,82.91666666666667,76.52,-0.0660172899999999,1.2533547738693467,4.643659862768615,4.417836087370593,0.2258237753980226
FR,2008Q4,100.9884,83.37666666666667,77.34,0.21300303,1.2112309599008515,4.615005658760174,4.423368494040988,0.19163716471918624
FR,2009Q1,97.6312,83.68,78.36,-0.01359035,1.1667208413001913,4.581197114465946,4.427000000316613,0.15419711414933243
FR,2009Q2,95.7699,84.35333333333334,78.95,0.05999923,1.1353422113332807,4.561948439364663,4.435014326093008,0.12693411327165502
FR,2009Q3,97.3453,84.78,79.36,0.0087045999999999,1.1482106628921915,4.578264451248509,4.440059665924491,0.13820478532401806
FR,2009Q4,97.3771,85.06333333333333,80.88,-0.07014606,1.144759982757945,4.578591070068765,4.443396077081797,0.13519499298696835
FR,2010Q1,97.5617,85.41000000000001,80.84,0.01189718,1.1422749092612106,4.580484998370155,4.447463189958056,0.13302180841209874
FR,2010Q2,98.6502,85.77333333333333,81.1,0.0079532599999999,1.1501266905020986,4.591580259836057,4.45170815787469,0.13987210196136746
FR,2010Q3,101.4766,85.96666666666665,81.32,0.01648813,1.180417991469562,4.619828230031058,4.4539596242191895,0.16586860581186916
FR,2010Q4,102.287,86.13666666666666,82.73,-0.0077428299999999,1.1874966139081307,4.627782587658735,4.455935182181926,0.17184740547680913
FR,2011Q1,102.1842,86.45,83.18,0.06421043,1.1820034702139965,4.626777066992142,4.4595662121293,0.16721085486284257
FR,2011Q2,103.0302,86.72333333333334,83.98,-0.07734268,1.1880332090556174,4.6350221491372725,4.462722974836998,0.17229917430027406
FR,2011Q3,105.2395,86.96333333333332,84.6,-0.04513712,1.2101594541760898,4.656238705115576,4.465486573878371,0.19075213123720536
FR,2011Q4,103.5555,87.21,85.39,0.06776825,1.1874269005847953,4.640107700868541,4.468319003238894,0.1717886976296469
FR,2012Q1,101.6241,87.61,85.43,0.01879029,1.1599600502225773,4.621280711740198,4.4728951466782725,0.14838556506192593
FR,2012Q2,100.8152,88.15333333333335,85.64,0.08157494,1.1436345761173712,4.613289137919843,4.479077722460567,0.13421141545927498
FR,2012Q3,101.5626,88.37,85.48,0.06135204,1.1492882199841574,4.620675357138957,4.481532545529913,0.13914281160904338
FR,2012Q4,99.8752,88.7,86.25,0.00919029,1.1259887260428412,4.603921406587562,4.485259889315534,0.11866151727202895
FR,2013Q1,98.5396,89.24,86.37,-0.0012058899999999,1.1042088749439714,4.590458497842305,4.4913293695643315,0.09912912827797347
FR,2013Q2,97.9136,89.50999999999999,87.54,0.05196265,1.093884482180762,4.584085457150868,4.494350350882847,0.08973510626802061
FR,2013Q3,98.7157,89.80666666666666,88.09,-0.06975126,1.099202360626531,4.592244001671954,4.497659211602312,0.09458479006964168
FR,2013Q4,97.7071,89.93,88.19,-0.0107668199999999,1.0864794840431446,4.5819742278514894,4.499031589926425,0.082942637925065
FR,2014Q1,96.4032,90.28333333333336,88.57,0.05823669,1.0677851209156357,4.5685393960863045,4.502952873435799,0.0655865226505059
FR,2014Q2,96.1621,90.49333333333334,88.7,-0.055573,1.0626429202887873,4.566035309150768,4.505276183167448,0.06075912598332006
FR,2014Q3,97.0841,90.63333333333333,88.68,-0.08136055,1.071174328797352,4.5755776131763275,4.506822062970315,0.06875555020601244
